교과목명,학점,,,,,,,,,,,,,,,,,,,,,,,,,,,
단백질체학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
단청개론과실습,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
담보법,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
당대시강독,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
대수및기하,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
대테러리즘,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학과청년문화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학생물학및실험1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학생을위한실용금융,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학생의 자기주도적 학습전략,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학통계학및실습1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학한국어Ⅰ(독해와작문),2,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학한국어Ⅰ(발표와토론),2,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학한국어Ⅱ(독해와작문),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학한국어Ⅱ(발표와토론),2,,,,,,,,,,,,,,,,,,,,,,,,,,,
댄스스포츠,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
더행복해지기-행복심리학,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터경제학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터랭글링,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터마이닝,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터마케팅,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터베이스,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터분석및시각화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터사이언스개론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터사이언스를위한파이썬프로그래밍,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터사이언스캡스톤디자인,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터압축,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터애널리틱스,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터어낼리틱스,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터통신,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
데이터프로그래밍기초와실습,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
도시에서 생태적으로 살아가기,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
독서교육론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
독일고전철학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
독일어(초급),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동국의역사와인물,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
동남아시아와불교문화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동물생리학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동물의마음:인간과의공존가능성,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"동부유라시아와한국,갈등과교류의역사",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동북아질서와한반도통일세미나(캡스톤디자인),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동아시아고대사,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동아시아근현대사,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동아시아사교육세미나,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
동아시아역사상의소통과교류,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
